PayloadReused,Flights,Legs,Reused,GridFins,CoreReusedCount,Block,Success,PayloadMass_std,Year,Orbit_GEO,Orbit_GTO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SSO,Orbit_VLEO,LaunchSite_KSC LC 39A,LaunchSite_VAFB SLC 4E
0,1,1,0,1,4,5,1,0.8643277116185957,9,0,0,0,0,0,0,1,0,0,0,1
0,2,1,1,1,3,5,1,0.1247290315005119,9,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,9,5,1,0.3913304630362022,9,0,1,0,0,0,0,0,0,0,0,0
0,2,1,1,1,4,5,1,-0.6630257649021645,9,0,0,0,0,0,0,0,1,0,0,1
0,2,1,1,1,2,5,1,-0.6000794994005413,9,0,1,0,0,0,0,0,0,0,1,0
0,3,1,1,1,3,5,1,-0.3128977468230841,9,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,0,5,0,-0.7372599235183895,9,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,5,0,-0.20827335567180788,9,0,0,0,0,0,1,0,0,0,0,0
0,2,1,1,1,9,5,1,0.8643277116185957,10,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,12,5,1,1.2961453364672975,10,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,1,3,5,1,-0.7679351514570179,10,0,0,0,1,0,0,0,0,0,0,0
0,3,1,1,1,9,5,1,1.437507292458461,10,0,0,0,0,0,0,0,0,1,0,0
0,2,1,1,1,12,5,1,-1.1770354014331947,10,0,0,0,0,0,0,0,1,0,0,1
1,2,1,1,1,3,5,1,-0.8567729061095315,10,0,0,0,1,0,0,0,0,0,0,0
0,3,0,1,0,2,5,0,0.2760541122341725,10,0,1,0,0,0,0,0,0,0,0,0
0,4,1,1,1,4,5,1,1.7767280083572567,10,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,1,5,5,1,-0.05988554368598297,10,0,0,0,1,0,0,0,0,0,0,0
0,3,1,1,1,3,5,1,0.3384006658162964,10,0,1,0,0,0,0,0,0,0,0,0
0,4,1,1,1,9,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
0,4,0,1,0,3,5,0,0.1957464488865962,11,0,0,0,0,0,0,0,1,0,1,0
0,3,1,1,1,12,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
0,4,1,1,1,3,5,0,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
1,2,1,1,1,5,5,1,-0.9494707141312656,11,0,0,0,1,0,0,0,0,0,0,0
0,5,1,1,1,4,5,0,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,1,0
0,4,1,1,1,12,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,13,5,1,0.8513304827179168,11,0,0,0,1,0,0,0,0,0,1,0
0,5,1,1,1,9,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
0,3,1,1,1,5,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,1,12,5,1,-0.34529588989997473,11,0,0,0,0,0,1,0,0,0,0,0
0,2,1,1,1,13,5,1,0.1957464488865962,11,1,0,0,0,0,0,0,0,0,0,0
0,6,1,1,1,9,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
0,4,1,1,1,5,5,1,-1.1007490816454544,11,0,0,0,0,0,0,0,1,0,0,0
0,2,1,1,1,12,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,1,0
0,3,1,1,1,13,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,1,0
0,6,1,1,1,12,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,1,0
0,3,1,1,1,12,5,1,1.7767280083572567,11,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,1,8,5,1,-0.40014763675971277,11,0,0,0,0,0,1,0,0,0,0,0
