FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,PayloadReused,LaunchSite,Latitude,Longitude,PlatformSuccessRatio,Flights,Legs,Reused,LandingPad,GridFins,CoreReusedCount,Serial,Block,Outcome,Success
66,2019-06-12,Falcon 9,1425.0,SSO,False,VAFB SLC 4E,34.632093,-120.610829,0.9643,2,True,True,LZ-4,True,12,B1051,5.0,True RTLS,1
67,2019-07-25,Falcon 9,2227.7,ISS,True,CCSFS SLC 40,28.5618571,-80.577366,0.9798,2,True,True,LZ-1,True,3,B1056,5.0,True RTLS,1
68,2019-08-06,Falcon 9,6500.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,3,False,True,,False,2,B1047,5.0,None None,0
69,2019-11-11,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,4,True,True,OCISLY,True,4,B1048,5.0,True ASDS,1
70,2019-12-05,Falcon 9,5000.0,ISS,True,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,5,B1059,5.0,True ASDS,1
71,2019-12-17,Falcon 9,6800.0,GTO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,3,True,True,OCISLY,True,3,B1056,5.0,True ASDS,1
72,2020-01-07,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,4,True,True,OCISLY,True,9,B1049,5.0,True ASDS,1
73,2020-01-19,Falcon 9,6123.547647058824,SSO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,4,False,True,,False,3,B1046,5.0,None None,0
74,2020-01-29,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,3,True,True,OCISLY,True,12,B1051,5.0,True ASDS,1
75,2020-02-17,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,4,True,True,OCISLY,True,3,B1056,5.0,False ASDS,0
76,2020-03-07,Falcon 9,1977.0,ISS,True,CCSFS SLC 40,28.5618571,-80.577366,0.9798,2,True,True,LZ-1,True,5,B1059,5.0,True RTLS,1
77,2020-03-18,Falcon 9,15600.0,VLEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,5,True,True,OCISLY,True,4,B1048,5.0,False ASDS,0
78,2020-04-22,Falcon 9,15600.0,VLEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,4,True,True,OCISLY,True,12,B1051,5.0,True ASDS,1
79,2020-05-30,Falcon 9,9525.0,ISS,False,KSC LC 39A,28.6080585,-80.6039558,1.0,1,True,False,OCISLY,True,13,B1058,5.0,True ASDS,1
80,2020-06-04,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,5,True,True,JRTI,True,9,B1049,5.0,True ASDS,1
81,2020-06-13,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,3,True,True,OCISLY,True,5,B1059,5.0,True ASDS,1
82,2020-06-30,Falcon 9,3880.0,MEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,JRTI,True,12,B1060,5.0,True ASDS,1
83,2020-07-20,Falcon 9,6123.547647058824,GEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,2,True,True,JRTI,True,13,B1058,5.0,True ASDS,1
84,2020-08-18,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,6,True,True,OCISLY,True,9,B1049,5.0,True ASDS,1
85,2020-08-30,Falcon 9,1600.0,SSO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,4,True,True,LZ-1,True,5,B1059,5.0,True RTLS,1
86,2020-09-03,Falcon 9,15600.0,VLEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,2,True,True,OCISLY,True,12,B1060,5.0,True ASDS,1
87,2020-10-06,Falcon 9,15600.0,VLEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,3,True,True,OCISLY,True,13,B1058,5.0,True ASDS,1
88,2020-10-18,Falcon 9,15600.0,VLEO,False,KSC LC 39A,28.6080585,-80.6039558,1.0,6,True,True,OCISLY,True,12,B1051,5.0,True ASDS,1
89,2020-10-24,Falcon 9,15600.0,VLEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,3,True,True,JRTI,True,12,B1060,5.0,True ASDS,1
90,2020-11-05,Falcon 9,3681.0,MEO,False,CCSFS SLC 40,28.5618571,-80.577366,0.9798,1,True,False,OCISLY,True,8,B1062,5.0,True ASDS,1
